City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Altus,34.64,-99.33,24.0,64,1,1.5,US,1596346776
Yanam,16.73,82.22,31.0,70,20,4.1,IN,1596346776
Vao,-22.67,167.48,20.15,69,60,7.35,NC,1596346776
Būlaevo,54.91,70.44,29.26,47,51,2.89,KZ,1596346776
Yining,29.04,114.56,35.26,48,61,3.18,CN,1596346777
Antofagasta,-23.65,-70.4,14.0,71,75,2.6,CL,1596346595
Lompoc,34.64,-120.46,14.0,87,90,3.6,US,1596346777
Thompson,55.74,-97.86,12.0,81,20,0.34,CA,1596346656
Upernavik,72.79,-56.15,4.62,71,0,4.99,GL,1596346778
Tual,-5.67,132.75,25.71,82,42,7.66,ID,1596346778
Dhidhdhoo,6.88,73.1,28.28,77,100,7.65,MV,1596346779
Lagoa,39.05,-27.98,21.5,72,15,4.52,PT,1596346779
Yellowknife,62.46,-114.35,23.0,56,20,6.2,CA,1596346610
Severo-Kuril'sk,50.68,156.12,12.79,81,97,3.03,RU,1596346779
Beringovskiy,63.05,179.32,10.18,78,100,5.61,RU,1596346780
Husavik,66.04,-17.34,10.0,93,100,2.09,IS,1596346780
Barcelos,41.54,-8.62,16.67,93,20,1.62,PT,1596346780
Meiningen,50.57,10.42,18.33,78,100,1.16,DE,1596346780
Macusani,-14.08,-70.43,0.97,70,5,1.27,PE,1596346781
Livingston,55.9,-3.52,12.22,93,75,3.1,GB,1596346781
Huarmey,-10.07,-78.15,15.3,86,8,2.27,PE,1596346781
Boysun,38.21,67.2,27.19,24,0,3.56,UZ,1596346781
Port Alfred,-33.59,26.89,17.21,32,0,4.04,ZA,1596346635
Zhigansk,66.77,123.37,20.77,38,1,6.83,RU,1596346782
São Mateus,-18.72,-39.86,18.71,92,33,2.09,BR,1596346517
Bireun,5.2,96.7,30.59,57,94,2.62,ID,1596346782
Whitehorse,60.72,-135.05,17.78,48,75,6.7,CA,1596346544
Fuxin,42.02,121.66,32.54,48,92,7.21,CN,1596346783
Codrington,-38.27,141.97,12.76,73,100,2.75,AU,1596346783
Roald,62.58,6.13,16.0,87,92,6.2,NO,1596346783
Bria,6.54,21.99,21.16,95,100,1.25,CF,1596346784
Itarema,-2.92,-39.92,24.64,87,78,5.6,BR,1596346784
Geraldton,-28.77,114.6,20.0,42,0,6.7,AU,1596346784
Bowen,-20.02,148.23,23.33,53,1,9.3,AU,1596346785
Coyhaique,-45.58,-72.07,3.0,93,90,1.5,CL,1596346691
Tuktoyaktuk,69.45,-133.04,10.0,93,75,6.7,CA,1596346785
Ambon City,-3.7,128.18,26.0,78,75,2.1,ID,1596346503
Huittinen,61.18,22.7,19.44,77,98,1.0,FI,1596346786
Morón,-34.65,-58.62,17.78,88,100,1.34,AR,1596346743
Te Anau,-45.42,167.72,10.16,91,93,0.83,NZ,1596346787
Touros,-5.2,-35.46,22.0,94,40,2.1,BR,1596346490
Qaanaaq,77.48,-69.36,2.74,81,100,4.72,GL,1596346636
Ancud,-41.87,-73.82,7.78,87,21,4.6,CL,1596346788
Seddon,-37.81,144.89,18.33,55,70,6.2,AU,1596346622
Escanaba,45.75,-87.06,16.11,100,1,2.3,US,1596346788
Chokurdakh,70.63,147.92,16.09,52,94,2.72,RU,1596346629
Strezhevoy,60.73,77.59,23.0,64,75,2.0,RU,1596346789
Novozaimka,56.49,66.92,27.21,57,92,4.53,RU,1596346789
Honiara,-9.43,159.95,31.0,70,20,2.6,SB,1596346789
Mount Isa,-20.73,139.5,26.0,26,0,3.6,AU,1596346789
Hofn,64.25,-15.21,10.62,96,100,5.05,IS,1596346790
Katsuura,35.13,140.3,32.78,62,75,3.6,JP,1596346790
Lavrentiya,65.58,-171.0,6.52,72,95,5.53,RU,1596346791
Flinders,-34.58,150.86,16.67,58,92,1.34,AU,1596346791
Jacareacanga,-6.22,-57.75,20.29,60,29,0.63,BR,1596346791
Coquimbo,-29.95,-71.34,9.0,93,3,3.6,CL,1596346792
Antakya,36.21,36.16,29.0,70,18,6.2,TR,1596346779
Sal Rei,16.18,-22.92,25.0,88,40,3.1,CV,1596346792
Baft,29.23,56.61,28.57,21,0,3.15,IR,1596346792
Khasan,42.43,130.64,20.38,95,100,4.5,RU,1596346793
Atar,20.52,-13.05,32.98,37,0,4.5,MR,1596346793
Swan Hill,-35.34,143.55,19.1,36,35,3.07,AU,1596346793
Bethel,41.37,-73.41,23.33,83,1,1.5,US,1596346793
Sitka,57.05,-135.33,16.0,77,90,6.7,US,1596346794
San Cristobal,7.77,-72.22,18.83,84,52,1.66,VE,1596346794
Mar del Plata,-38.0,-57.56,12.78,87,100,2.6,AR,1596346794
Yulara,-25.24,130.99,24.0,8,0,3.6,AU,1596346794
Mossamedes,-15.2,12.15,18.99,71,2,1.55,AO,1596346795
Taganak,6.08,118.3,31.0,70,20,2.1,PH,1596346795
Kavaratti,10.57,72.64,28.0,83,90,4.1,IN,1596346795
Bani Walid,31.76,13.99,29.55,23,0,3.93,LY,1596346795
College,64.86,-147.8,18.89,82,90,2.02,US,1596346796
Pecos,31.42,-103.49,27.0,36,1,5.68,US,1596346796
Fécamp,49.76,0.37,16.0,67,90,7.2,FR,1596346796
Calvinia,-31.47,19.78,12.23,38,0,4.66,ZA,1596346796
Simao,22.79,100.97,29.72,51,95,2.69,CN,1596346797
Krivodanovka,55.09,82.66,26.0,47,2,2.0,RU,1596346797
Yinchuan,38.47,106.27,34.87,9,36,1.93,CN,1596346798
Novokizhinginsk,51.61,109.59,18.23,86,98,2.51,RU,1596346798
Bubaque,11.28,-15.83,27.34,80,100,4.25,GW,1596346799
Palmer,42.16,-72.33,24.44,73,90,2.1,US,1596346799
Port Elizabeth,-33.92,25.57,8.0,93,0,1.0,ZA,1596346799
Carbonia,39.17,8.52,27.22,83,0,3.1,IT,1596346799
Kedrovyy,56.17,91.82,19.0,72,40,4.0,RU,1596346800
Pangnirtung,66.15,-65.71,7.28,80,92,0.75,CA,1596346801
Mineiros,-17.57,-52.55,17.3,57,39,2.65,BR,1596346801
Black River,18.03,-77.85,28.0,78,40,2.6,JM,1596346801
Kitakata,37.65,139.87,28.0,65,75,1.5,JP,1596346801
Lumeje,-11.55,20.78,13.19,43,98,3.75,AO,1596346802
Port Keats,-14.25,129.55,26.3,31,16,4.91,AU,1596346802
Maïné Soroa,13.21,12.02,28.19,58,100,3.1,NE,1596346803
Turukhansk,65.82,87.98,21.91,53,56,4.37,RU,1596346803
Iqaluit,63.75,-68.51,8.0,93,75,5.1,CA,1596346610
Avilés,43.55,-5.92,18.33,93,75,1.5,ES,1596346804
Aksarka,66.56,67.8,18.42,72,66,3.87,RU,1596346641
Sovetskiy,61.36,63.58,18.18,60,56,2.67,RU,1596346804
Meulaboh,4.14,96.13,31.22,53,91,1.76,ID,1596346805
Yangjiang,21.85,111.97,29.44,68,100,3.66,CN,1596346805
Yima,34.74,111.88,32.65,52,21,1.16,CN,1596346805
East London,-33.02,27.91,9.0,87,0,3.1,ZA,1596346806
Umarkot,25.36,69.74,36.88,44,80,5.17,PK,1596346726
São João da Barra,-21.64,-41.05,19.21,71,1,1.4,BR,1596346744
Birjand,32.87,59.22,30.0,17,0,5.02,IR,1596346806
Torbay,47.67,-52.73,14.44,100,90,4.1,CA,1596346807
Souillac,-20.52,57.52,22.0,78,75,5.7,MU,1596346807
Omsukchan,62.53,155.8,12.94,51,100,2.91,RU,1596346807
Port Lincoln,-34.73,135.87,13.81,69,100,3.5,AU,1596346808
Uvinza,-5.1,30.39,21.4,40,25,5.79,TZ,1596346808
Lebu,-37.62,-73.65,10.22,95,75,3.77,CL,1596346808
Bousso,10.48,16.71,22.67,96,100,2.32,TD,1596346809
Alice Springs,-23.7,133.88,24.0,8,0,3.6,AU,1596346608
Viedma,-40.81,-63.0,7.78,74,27,0.89,AR,1596346809
Chaumont,48.12,5.13,17.22,85,98,2.91,FR,1596346810
Puquio,-14.7,-74.13,10.28,43,0,2.58,PE,1596346810
Tuatapere,-46.13,167.68,10.28,90,100,0.9,NZ,1596346810
Weifang,36.71,119.1,26.11,88,100,4.28,CN,1596346810
Shelburne,44.08,-80.2,20.0,88,90,1.0,CA,1596346811
Wuwei,37.93,102.64,32.22,20,70,5.18,CN,1596346693
Quang Ngai,15.12,108.8,34.77,49,85,4.43,VN,1596346811
Maraial,-8.78,-35.81,19.63,93,46,1.25,BR,1596346812
Hermanus,-34.42,19.23,15.84,49,0,1.64,ZA,1596346812
Oddur,4.12,43.89,24.48,58,64,10.07,SO,1596346812
Aripuanã,-9.17,-60.63,20.39,50,9,1.03,BR,1596346812
Sokol,59.46,40.12,14.6,68,0,3.09,RU,1596346813
Ladushkin,54.57,20.17,15.0,93,40,2.32,RU,1596346813
São José da Coroa Grande,-8.9,-35.15,23.39,84,68,4.07,BR,1596346814
Lakshettipet,18.87,79.22,32.7,61,60,3.99,IN,1596346814
Tessalit,20.2,1.01,31.25,40,0,4.71,ML,1596346814
Rongcheng,30.63,117.85,32.78,91,100,2.41,CN,1596346815
Shimokizukuri,40.81,140.39,28.33,74,75,4.1,JP,1596346815
Opuwo,-18.06,13.84,12.32,39,0,4.21,NA,1596346673
Ilo,-17.64,-71.34,14.35,79,61,2.99,PE,1596346815
Hong Kong,22.29,114.16,31.11,86,100,5.81,HK,1596346566
Esperance,-33.87,121.9,16.0,63,75,4.6,AU,1596346684
Aykhal,66.0,111.5,24.0,29,0,1.0,RU,1596346816
Puerto Quijarro,-17.78,-57.77,21.36,46,0,1.11,BO,1596346816
Derbent,42.07,48.29,27.51,56,36,9.4,RU,1596346817
Los Llanos de Aridane,28.66,-17.92,22.0,83,75,5.7,ES,1596346817
Galle,6.04,80.22,27.92,80,88,6.18,LK,1596346733
Menongue,-14.66,17.69,11.64,42,18,3.67,AO,1596346817
Pevek,69.7,170.31,2.45,90,95,3.01,RU,1596346818
Le Port,-20.94,55.29,22.0,60,30,7.2,RE,1596346818
Klyuchi,52.27,79.17,27.81,45,0,5.57,RU,1596346818
Mazagão,-0.12,-51.29,27.0,100,40,3.6,BR,1596346818
Faya,18.39,42.45,20.0,88,20,2.1,SA,1596346670
Altagracia de Orituco,9.86,-66.38,21.5,87,96,1.14,VE,1596346819
Vanimo,-2.67,141.3,24.21,91,100,1.7,PG,1596346819
San Patricio,19.22,-104.7,27.47,74,100,1.46,MX,1596346819
Kankaanpää,61.8,22.42,19.44,82,92,3.1,FI,1596346820
Djebeniana,35.03,10.91,25.0,69,0,1.0,TN,1596346820
Sola,-13.88,167.55,25.35,88,0,5.18,VU,1596346820
Chui,-33.7,-53.46,11.59,92,87,3.42,UY,1596346821
Abbeville,50.1,1.83,15.56,81,97,4.57,FR,1596346821
Nome,64.5,-165.41,17.0,63,1,1.13,US,1596346821
Egvekinot,66.32,-179.17,9.3,62,96,2.47,RU,1596346821
Shenjiamen,29.96,122.3,28.34,83,66,7.51,CN,1596346821
Guerrero Negro,27.98,-114.06,23.2,73,0,5.35,MX,1596346822
Ahipara,-35.17,173.17,13.64,90,100,7.15,NZ,1596346822
Avarua,-21.21,-159.78,20.0,72,100,1.0,CK,1596346822
Marawi,8.0,124.29,28.89,76,100,3.13,PH,1596346822
Davila,18.47,120.58,29.17,73,100,7.66,PH,1596346823
Namtsy,62.72,129.67,26.0,29,0,3.0,RU,1596346823
Airai,-8.93,125.41,22.43,54,8,1.23,TL,1596346823
Cotonou,6.37,2.42,25.0,83,40,4.6,BJ,1596346823
Terney,45.05,136.61,24.58,71,65,5.09,RU,1596346824
Arman',59.7,150.17,16.44,53,23,3.52,RU,1596346824
Plover,44.46,-89.54,21.0,77,40,1.5,US,1596346824
Myanaung,18.28,95.32,34.05,58,82,1.23,MM,1596346825
Puerto Ayora,-0.74,-90.35,19.44,96,96,1.79,EC,1596346825
Gamba,-2.65,10.0,21.93,79,67,2.02,GA,1596346825
Jalu,29.03,21.55,27.37,56,0,4.67,LY,1596346825
Buenos Aires,-34.61,-58.38,17.22,87,75,2.1,AR,1596346529
Richards Bay,-28.78,32.04,16.8,70,0,2.74,ZA,1596346826
Ushtobe,45.25,77.98,29.68,25,100,4.02,KZ,1596346827
Chimoré,-16.98,-65.13,19.26,63,39,0.61,BO,1596346827
Nang Rong,14.64,102.79,26.0,94,75,4.1,TH,1596346827
Salair,54.23,85.8,21.51,54,94,2.96,RU,1596346828
Grand-Lahou,5.14,-5.02,23.38,84,83,3.99,CI,1596346828
Muncar,-8.43,114.33,27.21,62,70,3.38,ID,1596346828
Cesvaine,56.97,26.32,15.76,67,99,0.68,LV,1596346828
Amoy,24.48,118.08,34.0,59,40,3.0,CN,1596346829
Cabo San Lucas,22.89,-109.91,30.56,60,0,0.45,MX,1596346639
Cap-aux-Meules,47.38,-61.86,19.04,85,0,5.03,CA,1596346829
Tura,25.52,90.22,30.74,74,62,1.14,IN,1596346830
Bandarbeyla,9.49,50.81,30.15,48,84,13.24,SO,1596346830
Zharkent,44.16,80.0,26.91,42,100,1.68,KZ,1596346560
Colesberg,-30.72,25.1,8.45,41,0,1.93,ZA,1596346830
Cherskiy,68.75,161.3,10.59,63,74,5.8,RU,1596346831
Katangli,51.71,143.23,16.96,91,100,3.23,RU,1596346831
Mattru,7.62,-11.83,21.83,99,100,1.73,SL,1596346831
Lyuban',52.8,28.0,14.79,80,7,3.01,BY,1596346832
Murdochville,48.96,-65.5,13.39,71,0,2.05,CA,1596346832
Brae,60.4,-1.35,12.0,93,83,3.1,GB,1596346832
Longyearbyen,78.22,15.64,9.97,78,60,0.52,SJ,1596346832
Ilulissat,69.22,-51.1,4.0,100,33,1.05,GL,1596346833
San Policarpo,12.18,125.51,28.75,70,100,2.89,PH,1596346833
Kumul,42.8,93.45,33.21,10,11,2.0,CN,1596346833
Okha,53.57,142.95,11.6,94,100,6.49,RU,1596346833
Sur,22.57,59.53,30.61,62,78,5.09,OM,1596346629
Lewisville,33.05,-96.99,27.0,51,1,1.5,US,1596346538
Cidreira,-30.18,-50.21,15.11,74,0,3.57,BR,1596346834
Jiquilisco,13.32,-88.58,27.0,83,75,1.5,SV,1596346834
Kiunga,-6.12,141.29,27.72,68,100,1.09,PG,1596346835
Fortuna,40.6,-124.16,15.0,1,12,1.34,US,1596346835
Borogontsy,62.67,131.17,27.6,25,0,1.68,RU,1596346835
Ashquelon,31.67,34.57,26.11,58,0,1.34,IL,1596346836
Gryazi,52.5,39.94,16.0,77,6,2.0,RU,1596346836
Kankakee,41.15,-87.87,17.22,88,90,2.14,US,1596346836
Ust'-Koksa,50.27,85.61,21.91,43,16,0.51,RU,1596346837
Teseney,15.11,36.66,24.5,74,53,7.02,ER,1596346837
Olafsvik,64.89,-23.71,8.1,87,100,10.52,IS,1596346837
Ayan,56.45,138.17,12.42,84,95,2.56,RU,1596346838
Moranbah,-22.0,148.05,21.03,49,63,6.31,AU,1596346838
Kalabo,-14.97,22.68,11.55,43,15,3.98,ZM,1596346838
Neepawa,50.23,-99.47,13.0,93,5,2.1,CA,1596346838
Chapais,49.78,-74.85,17.0,88,75,1.81,CA,1596346839
Şarkîkaraağaç,38.08,31.37,23.54,44,0,1.98,TR,1596346839
Hay River,60.82,-115.8,25.0,53,40,5.1,CA,1596346839
Maindargi,17.47,76.3,29.76,64,76,5.73,IN,1596346840
Chicama,-7.84,-79.15,16.0,83,29,1.37,PE,1596346840
Ulladulla,-35.35,150.47,17.0,42,56,3.6,AU,1596346612
Maniitsoq,65.42,-52.9,7.87,95,100,5.57,GL,1596346840
Prykolotne,50.16,37.35,16.16,77,6,3.24,UA,1596346841
Kenai,60.55,-151.26,15.0,93,90,2.1,US,1596346841
Pīpri,19.8,75.53,30.0,70,40,2.1,IN,1596346841
Salalah,17.02,54.09,28.0,88,75,1.5,OM,1596346842
Ulaangom,49.98,92.07,19.81,44,36,3.33,MN,1596346704
Pemangkat,1.17,108.97,29.21,74,79,5.88,ID,1596346842
Talnakh,69.49,88.4,22.0,40,86,7.0,RU,1596346842
São Miguel do Araguaia,-13.28,-50.16,19.55,48,24,2.48,BR,1596346843
Santa Isabel,-23.32,-46.22,13.0,93,78,1.5,BR,1596346843
Gerāsh,27.67,54.14,33.0,52,22,3.1,IR,1596346645
Pailón,-17.65,-62.75,19.0,82,0,2.6,BO,1596346843
Barinas,8.62,-70.21,22.49,86,88,1.14,VE,1596346844
Whyalla,-33.03,137.58,18.0,34,55,4.6,AU,1596346844
Zabid,14.2,43.32,32.5,51,40,3.5,YE,1596346844
Luwuk,-0.95,122.79,26.55,78,97,2.75,ID,1596346844
Rawson,-43.3,-65.1,9.86,53,11,5.74,AR,1596346845
Pisco,-13.7,-76.22,12.78,87,0,1.5,PE,1596346845
Phan Thiet,10.93,108.1,28.01,84,100,8.37,VN,1596346845
Comodoro Rivadavia,-45.87,-67.5,11.0,52,0,7.7,AR,1596346639
Seryshevo,51.09,128.38,26.64,64,98,1.72,RU,1596346846
Rudnogorsk,57.26,103.75,24.51,42,100,4.37,RU,1596346846
San Juan Evangelista,17.9,-95.13,23.96,92,64,0.6,MX,1596346846
Perm,58.02,56.29,20.0,77,75,4.0,RU,1596346846
Bahía Blanca,-38.72,-62.27,10.48,76,0,3.77,AR,1596346809
Hargeisa,9.56,44.06,21.96,56,90,15.34,SO,1596346847
Tombouctou,20.0,-3.0,33.24,41,0,6.37,ML,1596346847
Puerto Escondido,15.85,-97.07,27.32,81,4,2.87,MX,1596346848
Naryan-Mar,67.67,53.09,14.09,78,83,3.91,RU,1596346848
Pilar,-9.6,-35.96,21.0,100,75,2.6,BR,1596346848
Sabla,12.75,4.71,25.84,78,71,5.14,NG,1596346849
Iwanai,42.97,140.51,27.24,60,100,1.08,JP,1596346849
Siguiri,11.67,-9.5,22.01,92,76,1.27,GN,1596346849
Padang,-0.95,100.35,29.37,64,71,2.76,ID,1596346849
Kirovsk,48.64,38.64,19.66,58,0,3.52,UA,1596346850
Lensk,60.73,114.93,25.56,35,0,5.61,RU,1596346850
Myitkyina,25.38,97.4,37.1,49,41,0.7,MM,1596346850
Winslow,35.02,-110.7,29.0,25,1,7.2,US,1596346805
Birao,10.28,22.79,21.05,96,100,2.18,CF,1596346851
Gijang,35.24,129.21,32.0,59,75,5.1,KR,1596346584
Vila Velha,-20.33,-40.29,18.0,100,90,2.57,BR,1596346851
Impfondo,1.64,18.07,23.11,94,100,0.89,CG,1596346851
Kralendijk,12.15,-68.27,28.0,88,13,5.7,BQ,1596346852
Province of Trapani,37.83,12.67,26.67,78,40,1.5,IT,1596346852
Ust-Maya,60.42,134.53,25.16,34,1,1.26,RU,1596346852
Isangel,-19.55,169.27,21.13,75,23,6.93,VU,1596346853
Arrondissement de Narbonne,43.08,2.83,22.78,73,44,4.02,FR,1596346565
Ardakān,32.31,54.02,32.0,24,0,2.1,IR,1596346853
Saint-Joseph,-21.37,55.62,21.0,68,90,6.2,RE,1596346853
Plymouth,41.83,-70.83,23.33,88,1,2.42,US,1596346854
Gorontalo,0.54,123.06,24.66,90,100,0.27,ID,1596346854
Laas,46.62,10.7,18.33,100,75,0.55,IT,1596346854
Tianpeng,30.99,103.94,32.78,64,55,1.41,CN,1596346683
Oyem,1.6,11.58,19.65,95,100,1.39,GA,1596346855
Punta Umbría,37.18,-6.97,22.22,41,0,2.68,ES,1596346855
Khāsh,28.22,61.22,34.51,23,0,1.41,IR,1596346855
Hohhot,40.81,111.65,26.0,65,20,2.0,CN,1596346855
Ucluelet,48.93,-125.55,16.11,87,91,0.19,CA,1596346852
Namie,37.48,141.0,28.33,75,56,1.34,JP,1596346856
Dodge City,37.75,-100.02,21.11,88,1,2.1,US,1596346856
Rørvik,64.86,11.24,15.61,78,0,1.06,NO,1596346856
Muisne,0.6,-80.03,23.16,88,99,2.78,EC,1596346857
Mwinilunga,-11.74,24.43,11.86,50,20,3.32,ZM,1596346857
Ostrovnoy,68.05,39.51,10.77,88,100,7.88,RU,1596346857
Mersing,2.43,103.84,32.0,70,40,2.1,MY,1596346857
Manado,1.49,124.85,28.0,78,40,2.1,ID,1596346780
Carnarvon,-24.87,113.63,20.0,64,0,6.7,AU,1596346858
Kalmunai,7.42,81.82,32.96,51,41,2.42,LK,1596346858
Marabu,4.41,114.01,32.0,75,40,2.6,MY,1596346646
Obo,5.4,26.49,21.58,96,100,0.38,CF,1596346859
Tabas,33.6,56.92,37.0,16,0,1.51,IR,1596346859
Grand Gaube,-20.01,57.66,22.78,74,64,4.02,MU,1596346859
Sinnamary,5.38,-52.95,25.42,85,100,3.59,GF,1596346860
Bilma,18.69,12.92,31.6,41,94,1.8,NE,1596346860
Stornoway,58.21,-6.39,10.0,93,70,2.1,GB,1596346860
San Miguel de Cozumel,20.51,-86.95,28.0,83,40,4.64,MX,1596346860
Pandan Niog,6.23,120.56,28.1,73,77,2.26,PH,1596346861
Soeng Sang,14.43,102.46,26.0,94,75,4.1,TH,1596346862
Wakkanai,45.41,141.67,27.0,69,75,8.2,JP,1596346862
Korla,41.76,86.15,31.94,12,86,1.94,CN,1596346862
Ivanava,52.15,25.54,15.32,73,0,1.47,BY,1596346863
Kutum,14.2,24.67,20.3,88,100,3.67,SD,1596346863
Nālūt,30.33,10.85,25.06,23,0,3.99,LY,1596346863
‘Ewa Beach,21.32,-158.01,27.0,57,1,2.6,US,1596346741
Charlestown,-32.95,151.67,18.33,66,66,1.78,AU,1596346864
Faanui,-16.48,-151.75,25.62,83,17,5.8,PF,1596346864
Tete,-16.16,33.59,14.0,82,20,1.5,MZ,1596346864
Marrakesh,31.63,-8.01,27.0,54,45,1.0,MA,1596346817
Caravelas,-17.71,-39.25,19.91,88,43,2.21,BR,1596346865
Port-Gentil,-0.72,8.78,24.0,88,40,4.55,GA,1596346865
Barsovo,61.17,73.17,23.0,60,52,3.0,RU,1596346865
Kapit,2.02,112.93,36.19,41,76,0.46,MY,1596346865
Marfino,55.7,37.38,17.22,82,75,4.0,RU,1596346866
Namatanai,-3.67,152.43,28.22,76,49,3.69,PG,1596346866
Alta Floresta,-9.88,-56.09,18.06,43,0,1.91,BR,1596346866
Abu Dhabi,24.47,54.37,38.0,35,9,5.1,AE,1596346155
Nanortalik,60.14,-45.24,7.37,94,100,6.88,GL,1596346616
‘Āhuimanu,21.44,-157.84,28.0,54,40,4.6,US,1596346867
